Renter_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,5,BHK,Apartment,Limat,1.8,4500,Unfurnished,5
AGENT,3,BHK,Apartment,Limat,"32,000",1800,Unfurnished,3
AGENT,5,BHK,Apartment,Limat,1.8,4500,Unfurnished,5
AGENT,5,BHK,Apartment,Limat,1.8,4500,Unfurnished,5
AGENT,1,BHK,Apartment,Limat,"7,000",700,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"7,000",700,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"7,000",700,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"7,000",700,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"7,000",700,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"7,000",700,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"7,000",700,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"7,000",700,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"7,000",700,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"7,000",700,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"8,500",620,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"8,500",620,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"8,500",620,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"8,500",620,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"8,500",620,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"8,500",620,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"8,500",620,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"8,500",620,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"8,500",620,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"8,500",620,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"7,000",700,Unfurnished,1
AGENT,2,BHK,Apartment,Limat,"13,500",1200,Unfurnished,2
AGENT,2,BHK,Apartment,Limat,"13,500",1200,Unfurnished,2
AGENT,2,BHK,Apartment,Limat,"13,500",1200,Unfurnished,2
AGENT,2,BHK,Apartment,Limat,"13,500",1200,Unfurnished,2
AGENT,2,BHK,Apartment,Limat,"13,500",1200,Unfurnished,2
AGENT,2,BHK,Apartment,Limat,"13,500",1200,Unfurnished,2
AGENT,2,BHK,Apartment,Limat,"13,500",1200,Unfurnished,2
AGENT,2,BHK,Apartment,Limat,"13,500",1200,Unfurnished,2
AGENT,2,BHK,Apartment,Limat,"13,500",1200,Unfurnished,2
AGENT,2,BHK,Apartment,Limat,"13,500",1200,Unfurnished,2
AGENT,2,BHK,Apartment,Limat,"13,500",1200,Unfurnished,2
